Num	Station	Date	Time	Lon	Lat	Bottle	Depth	MLD	Label	Chla	sample	C2	C3	Chlphyllide_a	Peridinin	19_But	Fucoxanthin	Neox	Pras	19_Hex	Diadino_diatox	Diatox	Violaxanthin	Alloxanthin	Zeaxanthin	Lutein	Chl_b	Div_a	Chl_a	alpha-beta-Carotene
63	Stn12	02/03/2022	07:44	-87.99958	-32.4978	17	5	31	upper	0.12	1_63_20422_SO289	3.607520251	2.170101446	0	1.0883581	1.017073177	1.021745267	0	0	17.7037884	4.112439816	0	0.289543184	0	15.62727361	0	2.386186669	12.67797557	29.03697798	2.562378109
64	Stn13	03/03/2022	08:40	-90.99838	-32.50006	2	100	27	lower	0.40	1_64_20449_SO289	19.13244385	22.69758082	0	4.01436699	3.998345296	4.01671234	3.192706168	0.240570671	54.21858428	3.049439253	0	0.446379076	0	21.78199148	0	76.31948652	62.71318841	91.70467461	11.70096134
65	Stn13	03/03/2022	08:40	-90.99838	-32.50006	5	75	27	lower	0.42	1_65_20452_SO289	25.26143381	28.11925931	0	9.192439948	4.724286002	4.745987772	4.389121254	0.429253549	76.75840092	5.619132628	0	2.15433917	0	28.03958804	2.283235268	66.14245536	52.17474561	127.2784247	10.44260406
66	Stn13	03/03/2022	08:40	-90.99838	-32.50006	8	50	27	lower	0.34	1_66_20455_SO289	26.00690779	20.65439634	0	11.48636394	4.636379119	4.657677075	3.541660568	0.396234046	83.24061199	10.30319693	0	3.038479965	0	36.14514314	1.395310441	38.92673183	39.68086937	135.9332984	7.704747414
67	Stn13	03/03/2022	08:40	-90.99838	-32.50006	11	25	27	upper	0.12	1_67_20458_SO289	6.833742825	5.305486896	0	2.511595614	1.79594706	1.804197032	0.676760049	0	33.32592686	7.334006075	0	0.900801018	0	12.45860984	0.532870737	9.500761668	12.8305624	52.31390327	2.964217445
68	Stn13	03/03/2022	08:40	-90.99838	-32.50006	14	15	27	upper	0.11	1_68_20461_SO289	5.686147876	3.671654341	0	1.858580755	1.909375295	1.918146318	0.6979088	0	32.09568346	7.785257955	0	1.84526331	0	9.467411812	0.718217081	8.016267657	8.657644226	46.41576712	2.163148118
69	Stn13	03/03/2022	08:40	-90.99838	-32.50006	17	5	27	upper	0.11	1_69_20464_SO289	5.136412876	3.342742755	0	1.691141047	1.629585648	1.637071412	0.6858238	0	26.49124129	7.082793688	0	0.985825604	0	7.898511729	0.755286349	6.905646212	7.35733904	41.24750066	2.249256547
70	Stn14	04/03/2022	02:42	-94.00082	-32.49956	2	125	30	lower	0.34	1_70_20491_SO289	21.12453912	23.41349979	0	3.767393421	4.106102119	4.124964162	1.885260136	0	62.25910366	3.305885231	0	0.298160541	0	20.10764073	0.062554391	47.10794327	43.66637111	84.67721306	8.29380735
71	Stn14	04/03/2022	02:42	-94.00082	-32.49956	5	100	30	lower	0.27	1_71_20494_SO289	19.50587495	21.33277649	0	4.784589645	3.839545766	3.857183339	1.756101689	0	57.35863411	4.193851238	0	0.420527006	0	19.04284625	0.130321648	31.14138547	32.81943754	86.56353169	5.706640452
72	Stn14	04/03/2022	02:42	-94.00082	-32.49956	8	75	30	lower	0.16	1_72_20497_SO289	9.103944768	7.8107564	0	2.720895249	1.789330412	1.79754999	0.62993067	0	33.25465085	3.912981833	0	0.287819713	0	17.33377395	0	11.12545789	20.76839483	52.12157274	3.054892231
73	Stn14	04/03/2022	02:42	-94.00082	-32.49956	11	50	30	lower	0.12	1_73_20500_SO289	4.960571715	3.271240236	0	1.741372959	8.060966591	1.283828625	0	0	21.14846993	3.458822402	0	0	0	21.3704767	0	4.112598222	19.07335414	34.74771516	2.990310909
74	Stn14	04/03/2022	02:42	-94.00082	-32.49956	14	25	30	upper	0.08	1_74_20503_SO289	1.9194451	0.897356611	0	0.898593098	3.656170119	0.702687265	0	0	11.89625843	2.747053972	0	0	0	11.4298229	0	1.011655178	9.181746827	20.24895238	1.628232118
75	Stn14	04/03/2022	02:42	-94.00082	-32.49956	17	5	30	upper	0.08	1_75_20506_SO289	2.763482675	1.240568702	0	0.747897361	4.185501884	0.866014575	0	0	13.74748184	3.18900169	0	0	0	13.63657088	0	0.615790108	10.43561254	22.50760318	1.466452645
76	Stn15	04/03/2022	22:38	-97.001	-32.50036	2	150	29	lower	0.32	1_76_20533_SO289	15.17601772	19.87948779	0	1.854394762	29.46581983	2.831639763	0.439591907	0	33.78189803	1.775932013	0	0.184411433	0	14.05451558	0	70.0681173	51.2841029	58.19477899	10.94751258
77	Stn15	04/03/2022	22:38	-97.001	-32.50036	5	100	29	lower	0.35	1_77_20536_SO289	19.34067681	22.73511964	0	4.093900851	28.53854401	4.444022163	2.45401049	0	56.02294127	3.421024242	0	0.422250477	0	26.3015811	0.161598843	57.12827784	51.2841029	89.11560983	8.734134546
78	Stn15	04/03/2022	22:38	-97.001	-32.50036	8	70	29	lower	0.29	1_78_20539_SO289	21.0245873	18.23850499	0	8.296637513	24.22259966	5.270154489	2.723657072	0	70.75364145	8.431315738	0	2.731702067	0	32.67491619	1.115553304	33.5825534	33.74490985	114.6733779	5.921911525
79	Stn15	04/03/2022	22:38	-97.001	-32.50036	11	35	29	lower	0.15	1_79_20542_SO289	6.291411663	4.38667953	0	2.151600243	7.934305062	1.734877883	0	0	25.95227751	6.210528456	0	0.415356592	0	31.61783761	0	5.830762586	22.22626251	40.38201329	3.618511041
80	Stn15	04/03/2022	22:38	-97.001	-32.50036	14	20	29	upper	0.10	1_80_20545_SO289	3.88423871	2.507057066	0	1.280913763	4.979499531	1.791852526	0	0	20.98736663	7.002545287	0	0.625620095	0	12.84890588	0.316247198	5.113257148	10.42400267	34.74524939	1.970708825
81	Stn15	04/03/2022	22:38	-97.001	-32.50036	17	5	29	upper	0.10	1_81_20548_SO289	4.031389998	2.622354878	0	1.32277369	4.900099767	1.837432241	0	0	22.57496645	7.902723007	0	0.589427197	0	12.75245711	0.330148174	5.047279636	10.2797086	36.58718405	2.01180603
82	Stn16	05/03/2022	17:17	-100.0004	-32.50012	2	200	26	lower	0.15	2_1_20575_SO289	0.757967954	0.44510318	0	0.556737028	2.413185707	0.586838824	0	0	8.011227877	5.913488877	0.911920033	0.227498216	0	8.120986904	0	0.948426729	5.682200981	17.75358708	1.491241435
83	Stn16	05/03/2022	17:17	-100.0004	-32.50012	5	150	26	lower	0.31	2_2_20578_SO289	1.209139355	0.54163158	0	0.962778319	2.875405766	1.051182166	0.210732203	0	8.90461892	5.20073609	0.354430458	0.33607691	0	9.913005155	0	1.220583964	6.652454213	19.94319616	1.804362996
84	Stn16	05/03/2022	17:17	-100.0004	-32.50012	8	100	26	lower	0.24	2_3_20581_SO289	3.094341703	1.716060452	0	1.766488915	5.155313296	1.734877883	0.208466265	0	15.34289273	4.132206625	0.116297494	0.363652452	0	14.65635594	0	2.573122952	10.65785858	31.98604606	2.710458514
85	Stn16	05/03/2022	17:17	-100.0004	-32.50012	11	60	26	lower	0.09	2_4_20584_SO289	16.01727886	19.89825721	0	1.670211083	30.39309566	3.617889838	0.804407871	0	41.65252666	1.843968702	0	0.430867834	0	14.92641251	0	68.52589297	55.23477503	75.34178518	13.57381968
86	Stn16	05/03/2022	17:17	-100.0004	-32.50012	14	30	26	lower	0.06	2_5_20587_SO289	10.16732106	8.132517734	0	2.771127161	15.77219612	2.344506564	0.541559102	0	32.63952915	2.711000343	0	0.386057579	0	22.66353329	0	18.07783817	38.66583522	55.38379437	6.779081798
87	Stn16	05/03/2022	17:17	-100.0004	-32.50012	17	5	26	upper	0.05	2_6_20590_SO289	6.824488027	12.52455995	0	0.632084896	17.5445123	1.028392308	0.355752213	0	21.25391937	1.559610236	0	0	0	4.565885036	0	32.37021662	19.20603834	38.72501182	6.52467053
88	Stn17	06/03/2022	18:52	-102.99882	-31.42734	2	225	22	lower	0.10	2_7_20617_SO289	4.427032611	8.073528156	0	0.339065408	12.74082653	0.811888664	0.251519081	0	16.81332651	0.847841806	0	0	0	2.463301728	0	20.08190509	11.15044868	29.323008	3.726146577
89	Stn17	06/03/2022	18:52	-102.99882	-31.42734	5	150	22	lower	0.35	2_8_20620_SO289	15.94925609	17.94623844	0	2.574385505	26.8966703	3.182033818	0.917704754	0	39.49081325	2.0271444	0	0.368822866	0	17.12544459	0	65.42494992	54.41876719	69.71241861	12.38982877
90	Stn17	06/03/2022	18:52	-102.99882	-31.42734	8	110	22	lower	0.29	2_9_20623_SO289	13.69756374	11.23483327	0	3.478559926	17.32332724	2.660715834	0.693376925	0	38.92255796	4.010675539	0	0.375716751	0	35.48736249	0	33.00525017	46.71644922	64.85977148	10.01793295
91	Stn17	06/03/2022	18:52	-102.99882	-31.42734	11	60	22	lower	0.07	2_10_20626_SO289	2.78615693	1.748236585	0	1.419051522	4.985170943	1.766213937	0.262848769	0	12.6685779	3.541396844	0	0.380887165	0	12.08117363	0	2.90301051	7.513242978	28.25039545	2.039204167
92	Stn17	06/03/2022	18:52	-102.99882	-31.42734	14	30	22	lower	0.05	2_11_20629_SO289	1.32713803	0.584533091	0	0.686502801	2.600342295	1.051182166	0.1744772	0	8.157685425	4.467404841	0.37473637	0.360205509	0	7.793061067	0	1.245325531	4.711947749	19.69908433	1.510811532
